X Y	IV BETA SE P
HAGH bald14 8 -0.019 0.025 0.44
HAVCR1 bald14 23 -0.015 0.005 0.00063
HAVCR2 bald14 9 0.015 0.012 0.18
HBQ1 bald14 22 -0.018 0.01 0.077
HBZ bald14 83 0.004 0.003 0.18
HCG22 bald14 15 -0.002 0.014 0.86
HDDC2 bald14 38 0.016 0.023 0.49
HDGF bald14 53 0.008 0.006 0.18
HEG1 bald14 6 -0.003 0.065 0.96
HEPACAM2 bald14 6 -0.08 0.091 0.38
HGFAC bald14 32 -0.014 0.007 0.059
HGF bald14 4 0.031 0.044 0.48
HIP1R bald14 4 0.002 0.045 0.97
HJV bald14 4 -0.031 0.026 0.23
HLA-A bald14 66 -0.006 0.001 5.6e-07
HLA-DRA bald14 63 0.007 0.009 0.44
HLA-E bald14 20 -0.021 0.014 0.12
HMBS bald14 6 -0.044 0.024 0.072
HMCN2 bald14 36 -0.001 0.007 0.83
HMOX1 bald14 4 -0.123 0.059 0.037
HNMT bald14 22 -0.006 0.012 0.62
HPCAL1 bald14 6 -0.066 0.03 0.026
HPGDS bald14 13 0 0.01 0.98
HPSE bald14 5 0.028 0.024 0.25
HRC bald14 4 0.024 0.024 0.31
HRG bald14 17 0.004 0.01 0.69
HS1BP3 bald14 5 -0.018 0.022 0.44
HS3ST3B1 bald14 11 0 0.023 0.99
HS6ST1 bald14 11 0.011 0.015 0.44
HSBP1 bald14 27 -0.017 0.013 0.18
HSD17B14 bald14 50 -0.005 0.008 0.5
HSDL2 bald14 26 0.003 0.015 0.86
HSPA1A bald14 5 -0.024 0.04 0.54
HSPA2 bald14 5 0.022 0.091 0.81
HSPB1 bald14 11 -0.021 0.031 0.5
HSPG2 bald14 10 0.008 0.024 0.73
HYAL1 bald14 5 0.029 0.014 0.042
HYOU1 bald14 6 0.002 0.024 0.92
ICAM1 bald14 23 0.012 0.014 0.42
ICAM3 bald14 22 0.018 0.016 0.26
ICAM4 bald14 5 -0.035 0.029 0.22
ICAM5 bald14 37 0.004 0.006 0.58
ICOSLG bald14 10 -0.008 0.011 0.46
IDI2 bald14 16 -0.004 0.006 0.53
IDO1 bald14 7 0.01 0.017 0.57
IDUA bald14 36 0.009 0.008 0.23
IFI30 bald14 9 -0.015 0.012 0.2
IFNAR1 bald14 15 0.001 0.015 0.94
IFNGR1 bald14 4 0.019 0.025 0.46
IFNGR2 bald14 60 0.008 0.003 0.0046
IFNLR1 bald14 17 -0.002 0.02 0.92
IGDCC4 bald14 15 -0.005 0.012 0.66
IGF1R bald14 9 0.027 0.048 0.58
IGF2R bald14 19 0 0.01 0.98
IGFBP3 bald14 9 -0.017 0.033 0.62
IGFBP6 bald14 8 -0.083 0.047 0.077
IGFBP7 bald14 13 0.028 0.011 0.015
IGFBPL1 bald14 24 -0.003 0.01 0.81
IGLC2 bald14 5 0.002 0.034 0.96
IGSF21 bald14 14 0.006 0.022 0.78
IGSF3 bald14 9 0.033 0.036 0.36
IGSF9 bald14 9 0.015 0.021 0.45
IL10RB bald14 15 -0.01 0.009 0.28
IL12B bald14 14 -0.002 0.026 0.94
IL12RB1 bald14 11 0.008 0.011 0.49
IL15RA bald14 10 0.007 0.012 0.53
IL16 bald14 18 0.011 0.026 0.68
IL17C bald14 5 0.074 0.037 0.048
IL17D bald14 11 -0.024 0.021 0.24
IL17F bald14 5 -0.002 0.043 0.97
IL17RA bald14 56 -0.011 0.002 2.9e-06
IL17RB bald14 38 0.005 0.006 0.41
IL18 bald14 10 -0.011 0.017 0.52
IL18BP bald14 7 0.071 0.044 0.1
IL18R1 bald14 48 0.004 0.002 0.057
IL1R1 bald14 13 0.011 0.019 0.57
IL1R2 bald14 24 -0.008 0.011 0.51
IL1RAP bald14 42 0.006 0.009 0.48
IL1RL1 bald14 39 0.007 0.005 0.17
IL1RL2 bald14 32 0.004 0.007 0.55
IL1RN bald14 8 -0.016 0.02 0.44
IL22 bald14 6 0.044 0.038 0.25
IL22RA1 bald14 8 0.086 0.026 0.00081
IL2RA bald14 30 -0.007 0.006 0.18
IL31RA bald14 26 -0.006 0.005 0.27
IL32 bald14 10 0.02 0.015 0.2
IL34 bald14 40 -0.009 0.007 0.21
IL4R bald14 10 -0.057 0.064 0.37
IL5RA bald14 30 -0.001 0.008 0.85
IL6R bald14 39 0.001 0.004 0.77
IL7R bald14 21 0.001 0.007 0.92
INHBB bald14 5 0.003 0.049 0.95
INHBC bald14 20 0.013 0.016 0.41
INSL4 bald14 6 0.021 0.029 0.47
INSL5 bald14 7 -0.007 0.015 0.63
IPCEF1 bald14 6 -0.028 0.045 0.53
IQGAP2 bald14 6 -0.171 0.092 0.062
ISLR2 bald14 9 0.006 0.033 0.85
ISM1 bald14 19 -0.006 0.029 0.83
ITGA11 bald14 13 -0.01 0.014 0.49
ITGA2 bald14 33 0.005 0.007 0.49
ITGA6 bald14 7 0.011 0.019 0.57
ITGAL bald14 6 0.017 0.029 0.56
ITGAV bald14 5 0.055 0.026 0.038
ITGB2 bald14 7 0.077 0.053 0.15
ITGB5 bald14 9 -0.033 0.036 0.36
ITGB7 bald14 7 -0.012 0.027 0.67
ITGBL1 bald14 26 0.007 0.009 0.47
ITIH3 bald14 15 0.041 0.015 0.0069
ITIH4 bald14 14 0.053 0.043 0.21
ITPA bald14 15 0.02 0.007 0.0057
ITPR1 bald14 5 0.049 0.043 0.26
JAM3 bald14 6 0.007 0.04 0.86
KAZALD1 bald14 21 0.013 0.01 0.19
KDR bald14 16 0.011 0.015 0.46
KEL bald14 12 -0.002 0.012 0.87
KHK bald14 8 0.006 0.01 0.5
KIAA0319 bald14 19 0 0.014 0.97
KIR2DL2 bald14 36 0.006 0.005 0.19
KIR2DL3 bald14 40 0.006 0.009 0.46
KIR2DS4 bald14 44 0.01 0.003 0.00042
KIR3DL1 bald14 75 -0.012 0.005 0.029
KIR3DL2 bald14 6 -0.028 0.033 0.38
KIRREL2 bald14 12 0.017 0.017 0.34
KLB bald14 36 -0.01 0.009 0.24
KLK10 bald14 30 0 0.003 0.91
KLK11 bald14 8 0.002 0.011 0.85
KLK12 bald14 32 0.001 0.002 0.53
KLK13 bald14 20 0.004 0.008 0.61
KLK14 bald14 26 -0.017 0.012 0.15
KLK15 bald14 45 -0.011 0.008 0.16
KLK1 bald14 15 0.007 0.01 0.51
KLK3 bald14 6 0.029 0.055 0.59
KLK4 bald14 34 0.001 0.028 0.97
KLK6 bald14 7 0.02 0.029 0.49
KLK7 bald14 15 0 0.013 0.97
KLK8 bald14 15 -0.01 0.01 0.34
KLKB1 bald14 12 -0.009 0.009 0.33
KLRB1 bald14 9 0.028 0.032 0.38
KLRD1 bald14 20 0.02 0.014 0.17
KLRF1 bald14 9 -0.006 0.013 0.64
KLRK1 bald14 23 0.005 0.011 0.62
KRT19 bald14 5 -0.108 0.135 0.42
KRT5 bald14 5 0.03 0.102 0.77
KYAT1 bald14 6 -0.008 0.043 0.85
KYNU bald14 13 0.004 0.016 0.8
LACTB2 bald14 6 -0.034 0.044 0.44
LAG3 bald14 8 -0.001 0.042 0.99
LAIR1 bald14 27 -0.005 0.008 0.52
LAIR2 bald14 50 0.014 0.005 0.0042
LAMA4 bald14 5 0.059 0.026 0.024
LAMB1 bald14 24 0.02 0.005 0.00013
LAMP3 bald14 7 0.017 0.026 0.51
LAYN bald14 11 -0.026 0.03 0.39
LBP bald14 29 0.027 0.014 0.053
LCN15 bald14 18 0.006 0.012 0.62
LCP1 bald14 20 0.001 0.008 0.9
LECT2 bald14 44 -0.002 0.006 0.72
LEFTY2 bald14 31 0.002 0.008 0.85
LEG1 bald14 10 0.014 0.005 0.0033
LEPR bald14 12 -0.016 0.015 0.3
LGALS1 bald14 11 0.022 0.017 0.19
LGALS3 bald14 31 -0.012 0.01 0.23
LGALS3BP bald14 14 0.026 0.021 0.22
LGALS4 bald14 7 0.063 0.026 0.015
LGALS8 bald14 10 -0.01 0.017 0.57
LGALS9 bald14 19 0.009 0.014 0.54
LGMN bald14 18 0.014 0.014 0.33
LHPP bald14 25 0.01 0.016 0.52
LIFR bald14 8 -0.02 0.025 0.41
LILRA2 bald14 33 -0.008 0.006 0.18
LILRA3 bald14 68 0.011 0.003 0.00038
LILRA5 bald14 17 0.005 0.013 0.71
LILRA6 bald14 79 0.009 0.005 0.071
LILRB1 bald14 19 -0.016 0.011 0.16
LILRB2 bald14 52 0.013 0.005 0.0085
LILRB4 bald14 18 0.003 0.012 0.8
LILRB5 bald14 90 -0.005 0.001 0.00023
LIPF bald14 6 0.014 0.028 0.61
LMOD1 bald14 8 -0.025 0.018 0.17
LPA bald14 66 -0.008 0.005 0.13
LPL bald14 14 0.007 0.017 0.68
LPO bald14 11 -0.026 0.014 0.066
LRG1 bald14 17 -0.001 0.005 0.86
LRIG1 bald14 39 0.01 0.004 0.009
LRP11 bald14 29 0.027 0.008 0.00094
LRP1 bald14 5 -0.02 0.092 0.83
LRPAP1 bald14 15 -0.011 0.019 0.55
LRRC25 bald14 9 -0.021 0.018 0.24
LRRC37A2 bald14 25 -0.027 0.05 0.58
LRRC38 bald14 6 -0.047 0.033 0.15
LRRN1 bald14 35 0.002 0.009 0.8
LRTM2 bald14 5 -0.042 0.033 0.2
LSP1 bald14 6 -0.01 0.032 0.75
LTA bald14 45 -0.006 0.008 0.44
LTB bald14 9 0.043 0.033 0.2
LTBP2 bald14 11 0.047 0.036 0.2
LTBP3 bald14 21 0.013 0.014 0.34
LTBR bald14 11 0.017 0.026 0.52
LUZP2 bald14 14 -0.012 0.016 0.44
LXN bald14 7 -0.017 0.013 0.21
LY6D bald14 18 0.004 0.011 0.73
LY75 bald14 75 0.01 0.002 5.6e-07
LY96 bald14 5 0.038 0.077 0.62
LY9 bald14 22 0.006 0.012 0.62
LYPD3 bald14 15 0.004 0.014 0.75
LYPD8 bald14 34 -0.001 0.01 0.94
LYVE1 bald14 8 -0.008 0.028 0.79
LYZL2 bald14 6 -0.018 0.017 0.29
MAD1L1 bald14 7 -0.02 0.036 0.57
MAMDC2 bald14 9 0.013 0.02 0.5
MAMDC4 bald14 11 -0.008 0.014 0.57
MAN1A2 bald14 9 -0.029 0.021 0.18
MAN2B2 bald14 47 0.003 0.007 0.72
MANF bald14 5 0 0.058 0.99
MANSC4 bald14 26 -0.003 0.006 0.67
MAP2K1 bald14 6 -0.076 0.095 0.42
MAP4K5 bald14 5 0.089 0.024 0.00018
MARCO bald14 6 -0.006 0.013 0.63
MASP1 bald14 14 0.041 0.022 0.06
MATN2 bald14 19 0.033 0.015 0.032
MATN3 bald14 35 0.006 0.011 0.61
MBL2 bald14 53 0.008 0.005 0.14
MCAM bald14 8 0.004 0.023 0.87
MCEMP1 bald14 9 -0.009 0.013 0.49
MDGA1 bald14 31 0.013 0.001 7.7e-37
MDK bald14 6 0.034 0.03 0.26
MECR bald14 4 -0.036 0.066 0.59
MEGF10 bald14 19 0.01 0.008 0.2
MEGF11 bald14 6 0.013 0.02 0.51
MELTF bald14 43 0.011 0.011 0.3
MEP1A bald14 7 -0.004 0.021 0.86
MEP1B bald14 67 -0.004 0.005 0.42
MEPE bald14 7 0.056 0.026 0.031
MERTK bald14 10 0.016 0.029 0.57
METAP1D bald14 5 -0.09 0.056 0.11
MET bald14 15 0.014 0.03 0.65
MFAP5 bald14 10 -0.012 0.015 0.42
MFGE8 bald14 10 -0.017 0.023 0.47
MGLL bald14 5 0.025 0.105 0.81
MGMT bald14 20 0.009 0.022 0.69
MIA bald14 26 0.007 0.007 0.28
MILR1 bald14 53 -0.004 0.008 0.62
MLN bald14 6 -0.018 0.006 0.0016
MME bald14 4 0.002 0.05 0.97
MMP10 bald14 21 0 0.009 0.96
MMP1 bald14 25 -0.007 0.015 0.62
MMP3 bald14 22 0.009 0.008 0.27
MMP7 bald14 8 0.02 0.03 0.5
MMP8 bald14 15 0.014 0.011 0.2
MOCS2 bald14 16 -0.002 0.009 0.77
MOG bald14 14 0.011 0.021 0.6
MPI bald14 6 -0.052 0.028 0.065
MPO bald14 13 0.008 0.011 0.46
MRC1 bald14 16 0.013 0.016 0.4
MRI1 bald14 12 -0.01 0.014 0.49
MSLN bald14 38 -0.006 0.007 0.42
MSMB bald14 52 -0.006 0.003 0.027
MSR1 bald14 21 -0.007 0.009 0.46
MSRA bald14 4 0.07 0.078 0.37
MST1 bald14 41 0.015 0.002 5.9e-13
MSTN bald14 4 -0.123 0.057 0.031
MTHFSD bald14 8 0.014 0.007 0.06
MTSS2 bald14 4 0.024 0.047 0.62
MTUS1 bald14 7 0.023 0.021 0.27
MUC13 bald14 6 -0.014 0.021 0.52
MUC16 bald14 4 -0.027 0.045 0.55
MUC2 bald14 9 -0.015 0.014 0.28
MVK bald14 4 -0.117 0.052 0.023
MXRA8 bald14 5 -0.085 0.057 0.14
MYOC bald14 12 0.016 0.008 0.041
NAA80 bald14 4 0.04 0.042 0.34
NAAA bald14 32 0.005 0.008 0.51
NADK bald14 11 0.022 0.006 0.00051
NAGA bald14 9 -0.025 0.015 0.089
NAGK bald14 5 0.034 0.023 0.13
NAGPA bald14 14 0.021 0.011 0.056
NAP1L4 bald14 6 -0.007 0.032 0.83
NAPRT bald14 10 -0.006 0.033 0.87
NBN bald14 6 0.067 0.041 0.1
NCAM1 bald14 19 -0.014 0.01 0.15
NCAM2 bald14 31 -0.005 0.006 0.42
NCAN bald14 7 -0.054 0.062 0.38
NCR1 bald14 14 -0.001 0.015 0.93
NCR3LG1 bald14 11 0.004 0.027 0.88
NCS1 bald14 7 -0.038 0.026 0.13
NECTIN2 bald14 7 -0.01 0.019 0.57
NECTIN4 bald14 4 -0.012 0.055 0.83
NELL1 bald14 16 0.006 0.014 0.68
NELL2 bald14 6 0.072 0.045 0.11
NEO1 bald14 4 0.005 0.06 0.93
NFASC bald14 15 0.001 0.011 0.92
NFATC1 bald14 7 -0.004 0.019 0.82
NHLRC3 bald14 10 -0.013 0.013 0.31
NID1 bald14 9 0.025 0.032 0.43
NID2 bald14 31 -0.009 0.012 0.49
NINJ1 bald14 6 -0.056 0.093 0.55
NIT2 bald14 4 0.062 0.037 0.089
NME3 bald14 7 -0.008 0.015 0.57
NMI bald14 9 -0.008 0.009 0.37
NMNAT1 bald14 4 0.057 0.028 0.041
NOMO1 bald14 4 0.017 0.063 0.79
NOS1 bald14 4 -0.002 0.02 0.94
NOTCH1 bald14 8 -0.062 0.032 0.053
NOTCH2 bald14 11 0.101 0.055 0.068
NOTCH3 bald14 5 -0.008 0.026 0.75
NPC2 bald14 8 0 0.01 0.99
NPHS1 bald14 16 -0.005 0.014 0.71
NPL bald14 14 -0.031 0.01 0.0025
NPPB bald14 7 -0.002 0.024 0.93
NPPC bald14 4 -0.468 0.118 6.8e-05
NPTX1 bald14 25 -0.009 0.011 0.39
NPTX2 bald14 19 -0.012 0.014 0.39
NPTXR bald14 12 -0.003 0.013 0.79
NPY bald14 6 0.034 0.038 0.37
NRCAM bald14 13 -0.008 0.022 0.73
NRP1 bald14 13 0.027 0.016 0.098
NRP2 bald14 10 0.074 0.026 0.0043
NT5C bald14 9 -0.009 0.008 0.28
NT5E bald14 35 0.006 0.015 0.7
NTF3 bald14 12 0.043 0.022 0.056
NTproBNP bald14 12 -0.006 0.012 0.59
NTRK2 bald14 6 -0.001 0.041 0.99
NTRK3 bald14 9 -0.01 0.025 0.69
NUB1 bald14 4 -0.001 0.026 0.96
NUCB2 bald14 14 0.007 0.004 0.12
NUDT16 bald14 6 -0.023 0.02 0.25
NUDT2 bald14 6 -0.015 0.018 0.43
NXPH3 bald14 4 0.057 0.028 0.042
OBP2B bald14 25 0 0.011 0.97
OCLN bald14 5 0.018 0.028 0.53
ODAM bald14 5 0.005 0.015 0.71
OGA bald14 4 -0.05 0.034 0.15
OGFR bald14 5 -0.043 0.045 0.33
OGN bald14 13 0.017 0.012 0.15
OLFM4 bald14 34 0.004 0.007 0.6
OLR1 bald14 5 0.091 0.04 0.022
OMD bald14 4 0.08 0.061 0.19
OPLAH bald14 6 -0.027 0.021 0.2
OPTC bald14 6 -0.004 0.013 0.77
ORM1 bald14 15 0.004 0.008 0.65
OSCAR bald14 33 -0.004 0.007 0.53
OSMR bald14 33 0.005 0.009 0.53
OXT bald14 18 -0.002 0.015 0.9
PADI4 bald14 14 0.006 0.014 0.64
PAEP bald14 39 0.012 0.008 0.11
PALM2 bald14 8 0.051 0.02 0.0094
PALM bald14 10 0.05 0.037 0.18
PAM bald14 28 0.031 0.024 0.2
PAMR1 bald14 18 -0.002 0.006 0.76
PBLD bald14 17 0.01 0.016 0.54
PCBD1 bald14 5 0.004 0.024 0.87
PCDH12 bald14 10 -0.015 0.011 0.16
PCDH17 bald14 5 0.029 0.042 0.49
PCDH7 bald14 4 0.073 0.041 0.074
PCDH9 bald14 21 0.004 0.011 0.71
PCDHB15 bald14 25 0.016 0.005 0.003
PCSK7 bald14 10 -0.012 0.021 0.56
PCSK9 bald14 10 0.009 0.018 0.61
PDCD1 bald14 12 0.009 0.02 0.66
PDCD1LG2 bald14 24 -0.005 0.007 0.49
PDCD5 bald14 11 -0.001 0.013 0.93
PDCD6 bald14 58 0.002 0.005 0.66
PDE5A bald14 7 -0.048 0.028 0.084
PDGFA bald14 4 -0.037 0.14 0.79
PDGFRA bald14 5 -0.014 0.013 0.29
PDGFRB bald14 57 0.001 0.005 0.79
PDZD2 bald14 4 -0.009 0.067 0.89
PEAR1 bald14 10 0.022 0.014 0.13
PECR bald14 4 0.028 0.014 0.038
PENK bald14 11 0.01 0.019 0.59
PEPD bald14 12 -0.001 0.013 0.91
PER3 bald14 17 -0.025 0.016 0.13
PGA4 bald14 5 0.002 0.058 0.98
PGLYRP1 bald14 4 -0.004 0.017 0.82
PGLYRP2 bald14 48 -0.007 0.004 0.069
PGLYRP4 bald14 11 -0.008 0.01 0.38
PHACTR2 bald14 4 -0.013 0.03 0.66
PHYKPL bald14 14 -0.013 0.021 0.52
PI16 bald14 15 -0.01 0.022 0.64
PI3 bald14 7 -0.01 0.015 0.5
PIGR bald14 6 0.006 0.029 0.83
PIK3AP1 bald14 10 -0.037 0.02 0.059
PILRA bald14 57 0.01 0.006 0.094
PILRB bald14 78 0 0.002 0.92
PINLYP bald14 43 0.006 0.009 0.54
PKD1 bald14 23 -0.02 0.016 0.19
PKLR bald14 9 0.005 0.031 0.88
PLA2G10 bald14 8 0.031 0.019 0.1
PLA2G15 bald14 8 0.022 0.034 0.51
PLA2G2A bald14 28 0.002 0.008 0.84
PLA2G7 bald14 6 -0.03 0.036 0.41
PLAU bald14 7 0.038 0.019 0.041
PLAUR bald14 8 -0.042 0.054 0.43
PLB1 bald14 52 0.009 0.007 0.17
PLCB2 bald14 5 0.009 0.046 0.85
PLEKHO1 bald14 4 0.083 0.066 0.21
PLG bald14 17 0.001 0.008 0.86
PLTP bald14 15 -0.003 0.015 0.85
PLXDC1 bald14 23 -0.002 0.012 0.86
PLXDC2 bald14 8 -0.084 0.043 0.051
PLXNB2 bald14 48 0.014 0.01 0.16
PM20D1 bald14 60 0.005 0.007 0.46
PMM2 bald14 9 0.019 0.024 0.41
PMVK bald14 4 -0.04 0.044 0.36
PNLIPRP1 bald14 10 -0.027 0.015 0.066
PNLIPRP2 bald14 38 0.009 0.002 8.3e-05
PNMA1 bald14 4 -0.02 0.047 0.68
PODXL2 bald14 9 0.014 0.025 0.57
PODXL bald14 5 -0.055 0.023 0.016
POMC bald14 5 -0.041 0.054 0.45
PON1 bald14 46 0.004 0.005 0.38
PON2 bald14 36 0.006 0.006 0.32
PON3 bald14 11 -0.005 0.009 0.59
POSTN bald14 16 0.012 0.022 0.59
PPCDC bald14 10 -0.035 0.026 0.19
PPL bald14 7 0.04 0.05 0.42
PPP1R14A bald14 8 -0.019 0.064 0.76
PRAP1 bald14 14 0.001 0.01 0.95
PRCP bald14 5 0.026 0.026 0.32
PRDX2 bald14 4 -0.004 0.023 0.86
PRDX5 bald14 4 -0.017 0.031 0.58
PRDX6 bald14 4 -0.06 0.032 0.065
PRELP bald14 12 -0.007 0.009 0.45
PRG2 bald14 4 -0.019 0.034 0.58
PRG3 bald14 9 0.024 0.058 0.68
PRKAB1 bald14 5 0.08 0.046 0.082
PRKAR2A bald14 4 0.07 0.039 0.078
PRKG1 bald14 5 0.032 0.057 0.58
PRND bald14 9 -0.016 0.013 0.2
PROC bald14 7 -0.025 0.025 0.3
PROCR bald14 20 0.021 0.018 0.26
PROK1 bald14 24 0.007 0.008 0.34
PROS1 bald14 9 -0.06 0.034 0.077
PRR4 bald14 27 0.004 0.007 0.53
PRRT3 bald14 6 -0.008 0.027 0.77
PRSS22 bald14 8 0.001 0.018 0.96
PRSS27 bald14 6 -0.011 0.016 0.47
PRSS2 bald14 5 0.026 0.019 0.18
PRSS8 bald14 6 0.042 0.031 0.17
PRTFDC1 bald14 5 -0.019 0.023 0.39
PRTG bald14 35 -0.004 0.009 0.69
PRTN3 bald14 12 -0.009 0.009 0.31
PSAP bald14 7 -0.003 0.01 0.78
PSAPL1 bald14 21 0.002 0.007 0.73
PSCA bald14 22 -0.003 0.006 0.59
PSG1 bald14 99 0.002 0.006 0.68
PSMD9 bald14 4 -0.015 0.025 0.54
PSRC1 bald14 8 -0.037 0.018 0.045
PSTPIP2 bald14 4 0.024 0.028 0.4
PTGDS bald14 9 0.025 0.038 0.51
PTGR1 bald14 21 0.023 0.009 0.0096
PTH1R bald14 11 0.001 0.015 0.96
PTN bald14 6 -0.082 0.032 0.0098
PTPRB bald14 13 0 0.009 0.96
PTPRC bald14 8 -0.012 0.024 0.61
PTPRH bald14 24 0.005 0.008 0.53
PTPRM bald14 7 -0.011 0.035 0.76
PTPRN2 bald14 9 0.02 0.025 0.43
PTPRR bald14 6 0.014 0.024 0.55
PTPRS bald14 24 -0.011 0.012 0.37
PTPRZ1 bald14 7 -0.005 0.017 0.79
PTX3 bald14 4 0.053 0.06 0.37
PVALB bald14 18 -0.001 0.007 0.85
PVR bald14 31 0.005 0.013 0.73
PXDNL bald14 9 0.01 0.022 0.66
PXN bald14 26 0.031 0.01 0.0029
PYDC1 bald14 12 0.011 0.013 0.4
PYY bald14 5 0.008 0.023 0.73
PZP bald14 25 -0.004 0.011 0.69
QPCT bald14 17 -0.021 0.013 0.11
QSOX1 bald14 25 0.017 0.012 0.16
RAB11FIP3 bald14 4 0.195 0.067 0.0035
RAB44 bald14 8 -0.013 0.027 0.64
RABEPK bald14 6 0.007 0.053 0.9
RARRES1 bald14 21 0.008 0.006 0.18
RARRES2 bald14 4 0.003 0.025 0.92
RASSF2 bald14 4 0.013 0.044 0.77
RBKS bald14 5 -0.137 0.026 1.9e-07
RBP5 bald14 5 0.025 0.011 0.027
RBP7 bald14 8 0.035 0.035 0.32
RECK bald14 8 0.007 0.02 0.7
REG1A bald14 22 0.008 0.016 0.63
REG1B bald14 18 0 0.013 1
REG3A bald14 10 0.02 0.022 0.37
REG3G bald14 10 0.024 0.02 0.22
REG4 bald14 7 0.02 0.023 0.4
RELT bald14 15 0.003 0.022 0.91
REN bald14 5 -0.016 0.032 0.63
RET bald14 18 0.001 0.014 0.95
RETN bald14 13 -0.012 0.011 0.28
RGMA bald14 13 0.008 0.018 0.64
RIDA bald14 4 -0.008 0.016 0.6
RILP bald14 4 -0.068 0.053 0.2
RILPL2 bald14 4 0.04 0.048 0.4
RLN2 bald14 7 -0.001 0.035 0.98
RNASE10 bald14 33 0.008 0.005 0.13
RNASE1 bald14 6 0.009 0.023 0.7
RNASE3 bald14 17 0.003 0.019 0.88
RNASE4 bald14 11 0.028 0.021 0.19
RNASE6 bald14 11 0.009 0.008 0.25
RNASET2 bald14 15 -0.003 0.009 0.76
RNF149 bald14 8 0.009 0.013 0.52
RNF43 bald14 4 -0.099 0.041 0.015
ROBO1 bald14 12 0.022 0.038 0.57
ROBO2 bald14 11 -0.022 0.029 0.46
ROR1 bald14 13 0.001 0.014 0.97
RSPO1 bald14 6 0.018 0.012 0.13
RSPO3 bald14 6 0.153 0.018 2.4e-17
RTBDN bald14 7 -0.033 0.021 0.12
RTN4R bald14 18 0.036 0.015 0.018
S100A13 bald14 8 -0.013 0.017 0.47
S100A3 bald14 5 0.047 0.055 0.4
S100A4 bald14 6 0.017 0.025 0.49
SAA4 bald14 14 0.011 0.01 0.25
SAMD9L bald14 7 0.019 0.037 0.61
SAT2 bald14 18 -0.006 0.009 0.48
SBSN bald14 13 0.006 0.007 0.38
SCARA5 bald14 9 -0.015 0.013 0.28
SCARB2 bald14 7 0.027 0.012 0.031
SCARF1 bald14 10 0.01 0.01 0.31
SCARF2 bald14 10 0.064 0.019 0.00058
SCG3 bald14 30 0.009 0.011 0.4
SCGB1A1 bald14 11 0.005 0.011 0.66
SCGB3A1 bald14 7 0.067 0.03 0.026
SCGB3A2 bald14 8 -0.006 0.022 0.79
SCGN bald14 4 -0.047 0.039 0.23
SCLY bald14 9 0.045 0.027 0.1
SCN4B bald14 27 0.004 0.005 0.43
SCPEP1 bald14 8 0.001 0.013 0.93
SCRG1 bald14 6 0.09 0.06 0.13
SCRN1 bald14 5 0.023 0.053 0.66
SDC1 bald14 5 0.044 0.066 0.51
SDC4 bald14 5 0.042 0.034 0.21
SDK2 bald14 19 0.018 0.008 0.019
SEL1L bald14 4 0.022 0.014 0.12
SELE bald14 6 0.117 0.038 0.0022
SELL bald14 12 -0.027 0.057 0.64
SELP bald14 7 -0.005 0.023 0.82
SELPLG bald14 8 0.011 0.011 0.29
SEMA3F bald14 11 -0.013 0.024 0.6
SEMA4D bald14 6 -0.057 0.04 0.16
SEMA7A bald14 7 -0.061 0.022 0.0059
SEPTIN8 bald14 5 0.075 0.055 0.17
SERPINA11 bald14 26 0.005 0.007 0.48
SERPINA12 bald14 26 0.004 0.003 0.14
SERPINA1 bald14 7 0.099 0.026 0.00012
SERPINA3 bald14 11 -0.007 0.007 0.33
SERPINA4 bald14 25 -0.005 0.01 0.6
SERPINA5 bald14 10 0.012 0.013 0.34
SERPINA6 bald14 9 0.03 0.007 2.4e-05
SERPINA9 bald14 26 0.003 0.007 0.71
SERPINB1 bald14 4 0.025 0.041 0.53
SERPINB6 bald14 8 0.034 0.02 0.094
SERPINB8 bald14 13 0.01 0.01 0.31
SERPINB9 bald14 10 -0.026 0.026 0.31
SERPIND1 bald14 4 -0.001 0.053 0.99
SERPINE2 bald14 10 0.017 0.009 0.056
SERPINF1 bald14 13 -0.01 0.013 0.43
SERPINF2 bald14 7 0.043 0.016 0.0052
SERPING1 bald14 10 0.032 0.019 0.092
SERPINH1 bald14 7 -0.053 0.082 0.52
SERPINI1 bald14 12 0.013 0.01 0.18
SERPINI2 bald14 15 -0.014 0.014 0.31
SETMAR bald14 9 0.02 0.015 0.17
SEZ6L2 bald14 6 -0.009 0.047 0.85
SEZ6L bald14 11 0.021 0.036 0.55
SFRP1 bald14 12 0.028 0.023 0.22
SFTPA1 bald14 7 -0.018 0.016 0.25
SFTPA2 bald14 33 -0.004 0.009 0.66
SFTPD bald14 51 -0.003 0.005 0.56
SGSH bald14 56 0.01 0.002 4.6e-08
SH3BP1 bald14 7 0.019 0.046 0.68
SH3GLB2 bald14 5 -0.016 0.016 0.32
SHBG bald14 13 -0.057 0.007 6.6e-18
SHMT1 bald14 55 0.004 0.003 0.21
SIAE bald14 7 0.014 0.014 0.34
SIGLEC10 bald14 15 -0.011 0.012 0.34
SIGLEC1 bald14 21 0.006 0.007 0.39
SIGLEC5 bald14 66 -0.001 0.007 0.89
SIGLEC6 bald14 21 0.001 0.008 0.92
SIGLEC7 bald14 12 -0.01 0.014 0.48
SIGLEC8 bald14 23 -0.019 0.008 0.011
SIGLEC9 bald14 23 0.003 0.002 0.13
SIRPA bald14 19 -0.002 0.008 0.85
SIRPB1 bald14 40 0.003 0.003 0.32
